twitter_Id,page_rank_value,rank
3946265,9.159637482345651E-4,287
3955728,9.163127363021876E-4,288
1748768,9.165175096390832E-4,289
7785036,9.174884970706475E-4,290
7445905,9.177453113588295E-4,291
5721696,9.193406954313362E-4,292
9329852,9.195745371086056E-4,293
4791205,9.196662397063085E-4,294
5291286,9.200435697202215E-4,295
3819965,9.201170671517387E-4,296
2024660,9.205344544588447E-4,297
7448225,9.20562355351695E-4,298
2151655,9.207043981650784E-4,299
3788872,9.207436870249051E-4,300
5441074,9.208997364182886E-4,301
3993414,9.210253001224797E-4,302
6713961,9.223421845125202E-4,303
4020996,9.223799560550432E-4,304
9948876,9.235899791460076E-4,305
4787313,9.237957481897454E-4,306
6392869,9.240851416558476E-4,307
8500834,9.245882044448864E-4,308
4634332,9.249169744602615E-4,309
5549093,9.255283357445449E-4,310
1230800,9.257774932581699E-4,311
1198253,9.258501790357278E-4,312
4765543,9.268448046763221E-4,313
2235629,9.274413736185379E-4,314
6291447,9.275890904223799E-4,315
6330052,9.276743246737583E-4,316
8949520,9.279882018860139E-4,317
1013053,9.285353914614241E-4,318
1808205,9.28553743789422E-4,319
3911520,9.285979281008511E-4,320
1968878,9.294077151638106E-4,321
4856510,9.296221932443848E-4,322
5616520,9.3013928687422E-4,323
1903166,9.301439391546665E-4,324
6484670,9.302786865193148E-4,325
9524176,9.305803794054598E-4,326
2138546,9.312618015335425E-4,327
2579668,9.317988015669949E-4,328
4262721,9.324656721678351E-4,329
2270316,9.328948409300826E-4,330
2429623,9.333309693828004E-4,331
5431048,9.333576495124423E-4,332
7548528,9.336971911539885E-4,333
7702618,9.337161653393778E-4,334
8811228,9.340595626287792E-4,335
4332140,9.342298505106869E-4,336
7776569,9.343677617269426E-4,337
1543470,9.34398812849E-4,338
1200256,9.35385799804067E-4,339
8171728,9.354012341513912E-4,340
7666389,9.355938319964668E-4,341
8115367,9.361703474478494E-4,342
6926281,9.377441220438755E-4,343
5987584,9.383259812415486E-4,344
5578040,9.388071927857168E-4,345
1164951,9.388792306928422E-4,346
9359468,9.388899101249841E-4,347
8214069,9.389912824445557E-4,348
9393490,9.395127539230553E-4,349
8336678,9.396448554321143E-4,350
4342779,9.398395799305768E-4,351
6336138,9.402760886103106E-4,352
7389202,9.408158547691665E-4,353
5713945,9.412317966787168E-4,354
2191716,9.413008791158516E-4,355
5108895,9.414906308746431E-4,356
8842349,9.418565257529576E-4,357
7561996,9.420953935398937E-4,358
3103646,9.427748590562088E-4,359
6160296,9.427890696745197E-4,360
7215998,9.429481931299114E-4,361
4356557,9.434825802446826E-4,362
2226365,9.436598146314156E-4,363
7062571,9.440478656729388E-4,364
2194403,9.442855016022296E-4,365
2849326,9.446997274125149E-4,366
1959298,9.450385575883961E-4,367
1223708,9.452631717948554E-4,368
8608118,9.454785999654956E-4,369
4033434,9.45579115740361E-4,370
5215477,9.460269580809343E-4,371
1360975,9.46128686847431E-4,372
2798624,9.465117068080869E-4,373
7606227,9.475223281469638E-4,374
8731072,9.478612445404434E-4,375
6503549,9.491419585307589E-4,376
5181409,9.492733112264696E-4,377
9646615,9.498503289020356E-4,378
1419667,9.505426416234503E-4,379
8807883,9.506175693301366E-4,380
9898336,9.51236057216394E-4,381
6006131,9.513537478064799E-4,382
9108685,9.516927781085316E-4,383
7437055,9.523278351305021E-4,384
5624320,9.523296769936297E-4,385
5291567,9.523453294675871E-4,386
5710777,9.526293798057566E-4,387
3992751,9.533924709150634E-4,388
4085169,9.536625454968715E-4,389
9529310,9.540107286120135E-4,390
7784039,9.542853514421374E-4,391
5839080,9.543272658492698E-4,392
8603333,9.546370581194846E-4,393
7630082,9.554612151411381E-4,394
6270769,9.560121618791072E-4,395
7160757,9.561335643200345E-4,396
9589659,9.565984233002883E-4,397
9160983,9.566000993437127E-4,398
7421658,9.567052009336218E-4,399
6025834,9.569046880171722E-4,400
3460240,9.582422145784015E-4,401
5193971,9.58587478501214E-4,402
6999705,9.586738139933064E-4,403
1214590,9.589305670499344E-4,404
9381439,9.591161071660155E-4,405
6948944,9.591522999740496E-4,406
5648088,9.592758031654595E-4,407
6519502,9.593886047773986E-4,408
6297279,9.601528700159396E-4,409
5869892,9.611019308772043E-4,410
3806497,9.618206590717205E-4,411
2067767,9.622217407222193E-4,412
